"名称","施設概要","郵便番号","住所","電話番号","設備の写真","利用時間","関連HP","施設カテゴリ","緯度","経度"
"那須塩原クリーンセンター","熱回収施設延床面積6573.92平方メートル 建築面積3176.32平方メートル リサイクルセンター延床面積3052.14平方メートル 建築面積1627.50平方メートル","329-2802","栃木県那須塩原市蟇沼593番地","0287-68-1881",,"月曜日～土曜日（祝日も受け入れています） 午前9時から正午、午後1時から午後5時 ※日曜日、年始（1月1日から1月3日）は休み","https://www.city.nasushiobara.lg.jp/shisetsuannai_shisetsuyoyaku/gomishorishisetsu/6910.html","ごみ処理施設","36.9810533596012","139.915191029576"
"那須塩原市一般廃棄物最終処分場","敷地面積93539平方メートル 埋立面積16240平方メートル 埋立容量92704立方メートル","325-0101","栃木県那須塩原市西岩崎331-1","0287-68-1881",,,"https://www.city.nasushiobara.lg.jp/shisetsuannai_shisetsuyoyaku/gomishorishisetsu/nasushiobarashiippanhaikibutsusaishushobunjo/index.html","ごみ処理施設","37.021881","139.993662"
